,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
170,163,Lesotho,36138,,723,,"25,980",,"9,435",,"16,610",332,"431,221","198,199"
226,219,Wallis and Futuna,3550,,8,,438,,"3,104",,"323,256",728,"20,508","1,867,419"
46,39,Romania,3529735,,"68,929",,"3,460,149",+390,657,21,"185,470","3,622","28,758,667","1,511,122"
106,99,North Macedonia,350567,,"9,976",,"337,068",,"3,523",,"168,436","4,793","2,226,216","1,069,626"
107,100,Zambia,349304,,"4,069",,"341,316",,"3,919",,"17,940",209,"4,112,961","211,244"
171,164,Haiti,34667,,860,,"33,734",,73,,"2,968",74,"132,422","11,337"
172,165,Faeroe Islands,34658,,28,,N/A,N/A,N/A,N/A,"703,959",569,"778,000","15,802,409"
13,6,S. Korea,34571873,,"35,934",,"34,535,939",,0,,"673,523",700,"15,804,065","307,892"
227,220,Saint Pierre Miquelon,3452,,2,,"2,449",,"1,001",,"599,410",347,"25,400","4,410,488"
108,101,Kenya,344130,,"5,689",,"337,309",,"1,132",N/A,"6,122",101,"3,967,062","70,569"
109,102,Brunei,343719,,225,,"243,601",,"99,893",3,"771,655",505,"717,784","1,611,437"
14,7,Japan,33803572,,"74,694",,N/A,N/A,N/A,N/A,"269,169",595,"100,414,883","799,578"
110,103,Albania,334863,,"3,605",,"330,233",,"1,025",,"116,825","1,258","1,941,032","677,173"
173,166,Mali,33164,,743,,"32,332",,89,,"1,544",35,"804,909","37,483"
111,104,Botswana,330638,,"2,801",,"327,049",,788,1,"135,443","1,147","2,026,898","830,300"
47,40,Denmark,3183756,,"8,814",,"3,174,942",,0,,"545,636","1,511","129,333,107","22,165,247"
174,167,Cayman Islands,31472,,37,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280"
175,168,Saint Lucia,30215,,410,,"29,805",,0,,"163,225","2,215","210,983","1,139,752"
48,41,Singapore,3006155,,"2,024",,"3,004,131",,0,4,"505,785",341,"24,756,666","4,165,302"
112,105,Montenegro,296542,,"2,846",,"291,794",,"1,902",N/A,"472,238","4,532","2,769,281","4,410,034"
228,221,Tuvalu,2943,,1,,N/A,N/A,N/A,N/A,"243,909",83,,
49,42,Hong Kong,2937609,,"14,924",,"2,916,005",,"6,680",N/A,"386,309","1,963","76,127,725","10,011,143"
235,228,Vatican City,29,,,,29,,0,,"36,295",,,
176,169,Benin,28036,,163,,"27,847",,26,,"2,193",13,"604,310","47,268"
177,170,Macao,27673,,123,,"3,487",,"24,063",,"41,458",184,"7,850","11,760"
50,43,Sweden,2754129,,"27,407",,"2,726,492",+20,230,N/A,"269,511","2,682","19,500,873","1,908,301"
178,171,Somalia,27334,,"1,361",,"13,182",,"12,791",,"1,623",81,"400,466","23,778"
113,106,Algeria,272010,,"6,881",,"183,061",,"82,068",,"5,998",152,"230,960","5,093"
15,8,Italy,26723249,,"196,487",,"26,361,218",,"165,544",22,"443,445","3,261","281,126,449","4,665,010"
114,107,Nigeria,267188,,"3,155",,"259,953",,"4,080",11,"1,233",15,"5,708,974","26,339"
115,108,Zimbabwe,266359,,"5,740",,"258,888",,"1,731",12,"17,373",374,"2,525,756","164,744"
179,172,Micronesia,26547,,65,,N/A,N/A,N/A,N/A,"225,953",553,"82,430","701,598"
51,44,New Zealand,2621111,,"5,697",,"2,613,791",,"1,623",,"535,117","1,163","7,768,604","1,586,011"
180,173,San Marino,26185,,128,,"26,011",,46,N/A,"768,226","3,755","196,855","5,775,414"
52,45,Serbia,2615054,,"18,057",,"2,596,608",,389,,"302,213","2,087","13,463,733","1,555,958"
181,174,Solomon Islands,25954,,199,,N/A,N/A,N/A,N/A,"35,989",276,,
182,175,Congo,25375,,386,,"24,006",,983,,"4,377",67,"347,815","59,991"
116,109,Uzbekistan,253662,,"1,637",,"241,486",,"10,539",23,"7,378",48,"1,377,915","40,077"
2,,Europe,253406198,,"2,101,824",,"248,754,104",+474,"2,550,270","4,453",,,,
16,9,UK,24910387,,"232,112",,"24,678,275",,0,N/A,"363,666","3,389","522,526,476","7,628,357"
53,46,Iraq,2465545,,"25,375",,"2,439,497",,673,,"58,474",602,"19,544,451","463,523"
17,10,Russia,24124215,,"402,756",,"23,545,818",,"175,641",N/A,"165,454","2,762","273,400,000","1,875,095"
183,176,Timor-Leste,23460,,138,,"23,102",,220,,"17,131",101,"278,529","203,391"
117,110,Afghanistan,234174,,"7,996",,"211,080",,"15,098",,"5,746",196,"1,390,730","34,125"
118,111,Mozambique,233731,,"2,250",,"228,805",,"2,676",11,"7,064",68,"1,371,127","41,437"
